User-ID,Age,Age_cate,state,country,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Main_Title,Sub_Title
183,27.0,20-29,porto,portugal,8440630794,7,cuentos del planeta tierra,arthur c. clark,1950-1999,edicion b,cuentos del planeta tierra,
183,27.0,20-29,porto,portugal,8476409419,8,estudios sobre el amor,jose ortega y gaset,2000-2009,downtown book center,estudios sobre el amor,
239467,23.0,20-29,baden-wuerttemberg,germany,3257203659,7,der illustrierte mann  erz   hlungen ,ray bradburi,2000-2009,diogen,der illustrierte mann  erz   hlungen ,
206441,32.0,30-39,nordrhein-westfalen,germany,3257208626,8,fahrenheit 451,ray bradburi,1950-1999,distribook inc,fahrenheit 451,
242,37.0,30-39,baden-wuerttemberg,germany,3257208634,10,die mars  chroniken  roman in erz   hlungen ,ray bradburi,1950-1999,diogen verlag,die mars  chroniken  roman in erz   hlungen ,
242,37.0,30-39,baden-wuerttemberg,germany,3257212429,10,die mechanismen der freude  erz   hlungen ,ray bradburi,2000-2009,diogen verlag,die mechanismen der freude  erz   hlungen ,
239488,36.0,30-39,niedersachsen,germany,3257216416,8,der tod kommt schnell in mexico  erz   hlungen ,ray bradburi,1950-1999,diogen verlag,der tod kommt schnell in mexico  erz   hlungen ,
242,37.0,30-39,baden-wuerttemberg,germany,3257233051,9,veronika deschliesst zu sterben   vernika decides to die,paolo coelho,2000-2009,distribook,veronika deschliesst zu sterben   vernika decides to die,
196898,27.0,20-29,st.gallen,switzerland,3257233051,10,veronika deschliesst zu sterben   vernika decides to die,paolo coelho,2000-2009,distribook,veronika deschliesst zu sterben   vernika decides to die,
242,37.0,30-39,baden-wuerttemberg,germany,3453212150,7,die cappuccino  jahre  aus dem tagebuch des adrian mole ,sue townsend,2000-2009,heyn,die cappuccino  jahre  aus dem tagebuch des adrian mole ,
276602,24.0,20-29,sachsen,germany,3453212150,8,die cappuccino  jahre  aus dem tagebuch des adrian mole ,sue townsend,2000-2009,heyn,die cappuccino  jahre  aus dem tagebuch des adrian mole ,
242,37.0,30-39,baden-wuerttemberg,germany,3492045642,8,quersch   sse   downsize this ,michael moor,2000-2009,piper,quersch   sse   downsize this ,
242,37.0,30-39,baden-wuerttemberg,germany,3498020862,8,die korrekturen ,jonathan franzen,2000-2009,"rowohlt , reinbek",die korrekturen ,
38950,26.0,20-29,berlin,germany,3498020862,3,die korrekturen ,jonathan franzen,2000-2009,"rowohlt , reinbek",die korrekturen ,
242,37.0,30-39,baden-wuerttemberg,germany,3499110695,7,neun erz   hlungen ,jerom d. saling,1950-1999,rowohlt tb .,neun erz   hlungen ,
